date,close,high,low,open,volume,weighted_tavg,weighted_prcp,Fed_Rate,CPI,GDP
2000-07-17,244.0,248.0,243.75,248.0,7233,21.996118449991613,3.931307362223002,6.58,172.8,10318.165
2000-07-18,241.25,247.5,241.0,244.25,6523,22.149044422942303,1.6270533150592774,6.47,172.8,10318.165
2000-07-19,245.0,246.0,239.0,241.25,7136,21.244135834932884,1.929503370817391,6.45,172.8,10318.165
2000-07-20,247.0,247.5,244.0,244.0,3792,21.81965290309939,0.9247696051311156,6.52,172.8,10318.165
2000-07-21,247.25,248.5,246.5,247.0,4380,21.171000576095626,1.426604006648838,6.51,172.8,10318.165
2000-07-24,245.5,249.5,242.5,247.25,4393,19.65576000074414,0.5457720248351585,6.52,172.8,10318.165
2000-07-25,245.5,247.0,243.0,244.75,5973,23.294921484716895,0.4905432273008085,6.46,172.8,10318.165
2000-07-26,244.25,247.5,243.0,245.5,3755,22.5214320185786,1.94857456964012,6.49,172.8,10318.165
2000-07-27,245.75,247.75,244.25,244.25,5397,24.077640909428474,0.4857970220038278,6.52,172.8,10318.165
2000-07-28,248.5,252.0,246.0,246.0,5698,23.48185596720132,2.7799827714905403,6.44,172.8,10318.165
2000-07-31,246.0,248.25,245.25,247.75,6131,24.287864316365948,4.038824633334717,6.64,172.8,10318.165
2000-08-01,245.0,249.75,242.5,246.25,6981,24.150764026997415,0.1806128050186747,6.51,172.8,10318.165
2000-08-02,246.5,247.25,244.5,245.0,5729,24.101823301538563,0.2277910534326779,6.42,172.8,10318.165
2000-08-03,242.25,247.5,241.75,246.25,7054,24.364601960969072,0.7165741477108625,6.45,172.8,10318.165
2000-08-04,236.5,241.5,236.5,241.5,6080,24.81355996321066,0.4247216865704459,6.44,172.8,10318.165
2000-08-07,233.5,239.75,233.0,237.0,6493,24.21868873375343,2.7764415859023672,6.46,172.8,10318.165
2000-08-08,236.5,237.0,234.0,234.5,8204,25.104186637979737,1.9196695891955309,6.44,172.8,10318.165
2000-08-09,235.5,237.5,233.5,236.0,7031,25.76721038226268,0.3096398130049975,6.48,172.8,10318.165
