date,close,high,low,open,volume,weighted_tavg,weighted_prcp,Fed_Rate,CPI,GDP,gk_vol_1d,gk_vol_21d
2000-08-14,238.5,239.0,236.0,237.0,2579,24.80803240030667,1.5295915434183174,6.58,172.8,10318.165,0.008025199684787925,0.011847646184659458
2000-08-15,240.5,241.5,238.25,239.0,3775,22.616501031772167,0.1519885341780241,6.63,172.8,10318.165,0.008755886682749249,0.011937236448561171
2000-08-16,243.5,244.5,241.0,241.0,6007,23.49735519811769,5.0428482956180085,6.48,172.8,10318.165,0.007924861283250198,0.011496528657488351
2000-08-17,239.5,245.5,238.5,244.75,4709,23.058355808250223,1.1473024478284075,6.47,172.8,10318.165,0.015387408803727312,0.01137109463197231
2000-08-18,238.5,241.25,237.5,239.5,5945,21.30853181997279,1.0864642948512035,6.44,172.8,10318.165,0.010768047600442778,0.011568936675729283
2000-08-21,236.25,238.75,234.0,238.75,5510,23.201419770926105,1.0088730531152612,6.48,172.8,10318.165,0.01261421362033986,0.011899169393147072
2000-08-22,234.75,238.0,234.5,236.5,5745,23.94057084787519,0.6816219859541943,6.42,172.8,10318.165,0.009403974895386568,0.011412119192586669
2000-08-23,233.75,235.25,232.0,234.75,3472,25.06191905176797,1.515843719233788,6.5,172.8,10318.165,0.009472265666151773,0.011320933761805244
2000-08-24,240.5,240.5,233.75,234.0,8565,18.592994910876087,1.8293668562443128,6.56,172.8,10318.165,0.010733994323840153,0.011232984872075979
2000-08-25,241.5,244.25,240.0,240.0,8198,19.879690100789624,1.482180252582438,6.54,172.8,10318.165,0.011792561473854678,0.011351048356156962
2000-08-28,242.5,247.0,241.5,245.0,7918,24.172946450220618,0.1790850006605951,6.57,172.8,10318.165,0.014591540863710164,0.011291678781053905
2000-08-29,250.25,251.0,243.5,243.5,10671,23.54512978207757,0.0290649080089354,6.51,172.8,10318.165,0.013088824086002244,0.011563412233942761
2000-08-30,246.25,250.75,245.75,249.0,9,24.305868594787377,4.43935658600351,6.51,172.8,10318.165,0.012457924622386356,0.011176222448981924
2000-08-31,251.0,251.0,248.0,248.0,11,23.35249022992309,2.312334353997884,6.65,172.8,10318.165,0.004054589941353391,0.011038846396194919
2000-09-01,251.0,251.75,250.75,250.75,11,23.264314765282407,1.5820416392077594,6.52,173.7,10318.165,0.0027453619875024526,0.010543845413661351
2000-10-13,272.75,273.25,272.0,272.5,301,15.32780785160498,2.1886240656557128,6.46,174.0,10435.744,0.0031916379640617876,0.004285119373028077
2000-10-16,266.0,270.0,265.5,267.0,210,13.311412655724766,1.121989344748544,6.59,174.0,10435.744,0.011653348837633554,0.004720935205945818
2000-10-17,271.5,274.0,271.0,271.0,55,14.01655215865384,0.6718661098779858,6.45,174.0,10435.744,0.007699975572028494,0.004951477757460319
2000-10-18,266.75,270.0,266.75,268.0,176,14.63625891208448,0.097948577683017,6.53,174.0,10435.744,0.008055051360229958,0.0051810284614579915
2000-10-19,264.75,264.75,263.5,264.0,195,15.39221199251322,0.0475206869802512,6.54,174.0,10435.744,0.002844287738054569,0.005172692746687817
2000-10-20,259.5,261.0,258.5,259.75,114,13.645451127169004,0.07636395551313,6.5,174.0,10435.744,0.006779334066472849,0.005146827422614585
2000-10-23,260.0,260.0,259.0,260.0,51,14.79388867401623,8.993551771539959,6.53,174.0,10435.744,0.002724884995108915,0.005074715878380057
2000-10-24,258.5,258.5,257.25,257.75,72,15.123264676163211,2.343715373791533,6.49,174.0,10435.744,0.0029132494455690232,0.004991521651068537
2000-10-25,256.5,257.75,256.5,257.5,52,16.05029534729578,2.7151348182307737,6.53,174.0,10435.744,0.002443004473012069,0.004952639882913259
2000-10-26,255.5,256.0,254.75,255.0,44,13.885874807873613,3.0607479812996603,6.53,174.0,10435.744,0.0032399272946233622,0.0049375881834170555
2000-10-27,256.25,257.5,256.25,256.5,137,12.548783716756889,0.404796813301163,6.51,174.0,10435.744,0.0033871195312107885,0.00498333453836847
2000-10-30,260.5,260.5,258.25,259.0,110,13.335180047642057,0.6544810909841822,6.59,174.0,10435.744,0.0049742745894083415,0.005087388694833131
2000-10-31,253.5,256.0,253.5,256.0,154,14.255668317900984,3.055105056341142,6.59,174.0,10435.744,0.003309179328915174,0.004646322273172041
2000-11-02,256.75,258.0,255.0,255.0,91,10.07209171237169,0.855703771101073,6.54,174.1,10435.744,0.007094317394029207,0.004659662467859113
2000-11-03,261.5,262.0,260.0,260.0,113,8.824612751592754,1.0835425330230457,6.48,174.1,10435.744,0.004071383787518068,0.004682265570232049
2000-11-06,265.5,265.5,263.75,264.0,127,6.822954909603552,15.971699286612852,6.49,174.1,10435.744,0.0030767908081496265,0.0045807232385784635
