date,Close,High,Low,Open,Volume,weighted_tavg,weighted_prcp
2000-07-17,244.0,248.0,243.75,248.0,7233.0,21.996118449991613,3.931307362223002
2000-07-18,241.25,247.5,241.0,244.25,6523.0,22.149044422942303,1.6270533150592774
2000-07-19,245.0,246.0,239.0,241.25,7136.0,21.244135834932884,1.929503370817391
2000-07-20,247.0,247.5,244.0,244.0,3792.0,21.81965290309939,0.9247696051311155
2000-07-21,247.25,248.5,246.5,247.0,4380.0,21.171000576095626,1.4266040066488381
2000-07-22,247.25,248.5,246.5,247.0,4380.0,21.503378436104935,2.788899755530574
2000-07-23,247.25,248.5,246.5,247.0,4380.0,22.536521258224834,2.819770686035237
2000-07-24,245.5,249.5,242.5,247.25,4393.0,19.65576000074414,0.5457720248351585
2000-07-25,245.5,247.0,243.0,244.75,5973.0,23.294921484716898,0.49054322730080857
2000-07-26,244.25,247.5,243.0,245.5,3755.0,22.5214320185786,1.94857456964012
2000-07-27,245.75,247.75,244.25,244.25,5397.0,24.077640909428474,0.4857970220038278
2000-07-28,248.5,252.0,246.0,246.0,5698.0,23.481855967201316,2.7799827714905403
2000-07-29,248.5,252.0,246.0,246.0,5698.0,23.85323236941206,2.290150534317974
2000-07-30,248.5,252.0,246.0,246.0,5698.0,24.29870056374076,1.2197342829196542
2000-07-31,246.0,248.25,245.25,247.75,6131.0,24.287864316365948,4.038824633334717
2000-08-01,245.0,249.75,242.5,246.25,6981.0,24.150764026997418,0.18061280501867472
2000-08-02,246.5,247.25,244.5,245.0,5729.0,24.101823301538563,0.22779105343267791
2000-08-03,242.25,247.5,241.75,246.25,7054.0,24.364601960969072,0.7165741477108625
2000-08-04,236.5,241.5,236.5,241.5,6080.0,24.81355996321066,0.4247216865704459
2000-08-05,236.5,241.5,236.5,241.5,6080.0,25.76078405284626,3.333984757293876
2000-08-06,236.5,241.5,236.5,241.5,6080.0,23.83263834445652,1.7137674649803236
2000-08-07,233.5,239.75,233.0,237.0,6493.0,24.21868873375343,2.7764415859023672
2000-08-08,236.5,237.0,234.0,234.5,8204.0,25.104186637979737,1.9196695891955309
2000-08-09,235.5,237.5,233.5,236.0,7031.0,25.76721038226268,0.30963981300499754
2000-08-10,235.75,238.0,235.0,235.5,10411.0,20.55626160919267,0.5925312196694908
2000-08-11,236.75,238.0,232.5,236.0,7029.0,21.552004250124497,0.25968237603097216
2000-08-12,236.75,238.0,232.5,236.0,7029.0,24.980853686851553,0.050521653079407036
2000-08-13,236.75,238.0,232.5,236.0,7029.0,24.350942801109728,0.36442913183683234
2000-08-14,238.5,239.0,236.0,237.0,2579.0,24.80803240030667,1.5295915434183174
2000-08-15,240.5,241.5,238.25,239.0,3775.0,22.616501031772167,0.15198853417802413
2000-08-16,243.5,244.5,241.0,241.0,6007.0,23.497355198117692,5.0428482956180085
2000-08-17,239.5,245.5,238.5,244.75,4709.0,23.058355808250226,1.1473024478284075
2000-08-18,238.5,241.25,237.5,239.5,5945.0,21.30853181997279,1.0864642948512035
2000-08-19,238.5,241.25,237.5,239.5,5945.0,22.195319241134367,0.5218717332647737
2000-08-20,238.5,241.25,237.5,239.5,5945.0,22.735509616373765,0.28979238305401556
2000-08-21,236.25,238.75,234.0,238.75,5510.0,23.201419770926105,1.0088730531152612
2000-08-22,234.75,238.0,234.5,236.5,5745.0,23.94057084787519,0.6816219859541943
2000-08-23,233.75,235.25,232.0,234.75,3472.0,25.061919051767966,1.515843719233788
2000-08-24,240.5,240.5,233.75,234.0,8565.0,18.592994910876087,1.8293668562443128
2000-08-25,241.5,244.25,240.0,240.0,8198.0,19.879690100789624,1.4821802525824381
2000-08-26,241.5,244.25,240.0,240.0,8198.0,25.799569805959138,2.9270194576507578
2000-08-27,241.5,244.25,240.0,240.0,8198.0,25.258167442521327,1.351685817044181
2000-08-28,242.5,247.0,241.5,245.0,7918.0,24.172946450220618,0.17908500066059516
2000-08-29,250.25,251.0,243.5,243.5,10671.0,23.54512978207757,0.02906490800893543
2000-08-30,246.25,250.75,245.75,249.0,9.0,24.305868594787377,4.43935658600351
2000-08-31,251.0,251.0,248.0,248.0,11.0,23.352490229923095,2.312334353997884
2000-09-01,251.0,251.75,250.75,250.75,11.0,23.264314765282407,1.5820416392077594
2000-09-02,251.0,251.75,250.75,250.75,11.0,23.700254255017512,6.275232002929635
2000-09-03,251.0,251.75,250.75,250.75,11.0,24.102709137009832,0.7989977141445295
2000-09-04,251.0,251.75,250.75,250.75,11.0,22.598382076160025,1.3274432309441166
2000-09-05,250.25,251.0,250.75,250.75,11.0,21.450323992254038,0.29707768664171397
2000-09-06,253.0,251.0,250.75,250.75,11.0,20.360227537398156,2.961015937921901
2000-09-07,253.0,251.0,250.75,250.75,11.0,20.301278144334166,0.4216536931271697
2000-09-08,249.5,251.0,250.75,250.75,11.0,21.65889755026107,1.5807343690243036
2000-09-09,249.5,251.0,250.75,250.75,11.0,21.875020241211182,1.1517682654046013
2000-09-10,249.5,251.0,250.75,250.75,11.0,21.976856494496023,1.018191391395907
2000-09-11,250.5,251.0,250.75,250.75,11.0,21.635389699341463,4.417262851029946
2000-09-12,249.25,251.0,250.75,250.75,4.0,20.079595498073864,0.7522738420027704
2000-09-13,245.0,251.0,250.75,250.75,4.0,20.06897441489563,1.5014852109724195
2000-09-14,242.0,251.0,250.75,250.75,100.0,19.996804391955592,0.28456349362381966
2000-09-15,254.5,254.5,253.5,254.0,199.0,18.42566606125104,0.1459073351775857
2000-09-16,254.5,254.5,253.5,254.0,199.0,19.415995897516165,0.0038289600165546346
2000-09-17,254.5,254.5,253.5,254.0,199.0,20.10906666650359,0.019701146847678683
2000-09-18,252.25,253.5,252.0,253.5,112.0,20.965577338275892,0.3253956556959746
2000-09-19,256.5,256.5,255.25,256.0,173.0,19.43330595614724,3.1473696418500223
2000-09-20,248.0,249.25,248.0,248.75,384.0,14.928294688355464,2.242243565570039
2000-09-21,247.0,250.0,247.0,248.75,101.0,13.448807712490765,5.1683840528790705
2000-09-22,247.5,248.25,246.75,247.25,278.0,10.781579994763225,9.398716224097228
2000-09-23,247.5,248.25,246.75,247.25,278.0,14.01402725300567,3.759386972539436
2000-09-24,247.5,248.25,246.75,247.25,278.0,10.674820166132882,5.392207544315087
2000-09-25,255.0,255.0,251.5,251.5,55.0,11.700914608425188,3.0087478238336107
2000-09-26,254.25,254.5,253.25,253.75,122.0,12.508105286570009,0.5643428358388669
2000-09-27,253.0,255.0,253.0,254.75,269.0,14.225475758844201,0.0
2000-09-28,259.75,259.75,258.5,258.75,229.0,9.82305352661437,0.00101274808229322
2000-09-29,258.0,259.5,258.0,259.25,843.0,18.168544136077966,0.031792141647307454
2000-09-30,258.0,259.5,258.0,259.25,843.0,11.467256191657352,0.7117004978819732
2000-10-01,258.0,259.5,258.0,259.25,843.0,17.86521885569209,1.1083082314528978
2000-10-02,270.5,272.0,265.5,265.5,142.0,17.8137003332796,0.16176594254650706
2000-10-03,269.0,269.0,266.0,267.25,176.0,16.00545849093913,0.6054057891649534
2000-10-04,266.75,268.5,266.75,268.0,306.0,13.284914149513098,0.63970651324719
2000-10-05,265.25,267.5,265.25,266.5,48.0,10.67902839892393,7.301026746563504
2000-10-06,266.5,267.5,266.0,267.0,436.0,6.7900121420339605,2.8416439421881803
2000-10-07,266.5,267.5,266.0,267.0,436.0,5.041833387148022,0.361357406201815
2000-10-08,266.5,267.5,266.0,267.0,436.0,4.758899515551849,0.12864875885119278
2000-10-09,267.5,269.25,267.5,269.25,61.0,7.9965253328270895,0.05928715872895825
2000-10-10,267.0,268.0,266.5,267.5,252.0,9.64243945818727,0.09394775853515197
2000-10-11,273.5,275.5,273.5,275.25,292.0,12.472480502221591,0.31029049519175383
2000-10-12,277.25,277.25,275.0,276.75,218.0,14.761322545711366,0.0985164970172474
2000-10-13,272.75,273.25,272.0,272.5,301.0,15.32780785160498,2.1886240656557128
2000-10-14,272.75,273.25,272.0,272.5,301.0,13.039223487443929,7.5447999541830555
2000-10-15,272.75,273.25,272.0,272.5,301.0,12.769034410697618,3.6043501241140445
2000-10-16,266.0,270.0,265.5,267.0,210.0,13.311412655724766,1.121989344748544
